SITE$,FSVLAFTER,TOTAFTER,MASSaft,RCM,CSIZE
OR,54,126,,,
OR,55,116,2.7535,0.202433267,1
OR,55,132,3.2,0.1026875,1
OR,55,127,4.3802,0.133464225,1
OR,55,101,3.9991,0.122677602,1
OR,55,134,3.7208,0.236051387,2
OR,55,112,2.9745,0.324794083,2
OR,55,127,,,
OR,56,137,3.2477,0.176001478,1
OR,56,134,4.3895,0.132087937,1
OR,56,136,3.8863,0.144250315,1
OR,56,120,5.4683,0.31426586,3
OR,57,137,4.3882,0.123718153,1
OR,57,110,3.474,0.159959701,1
OR,57,119,3.5196,0.170076145,1
OR,57,94,3.32,0.175301205,1
OR,57,134,3.9968,0.112214772,1
OR,57,122,4.4613,0.136484881,1
OR,57,118,,,1
OR,57,111,3.7109,0.180414455,1
OR,57,128,5.0315,0.100864553,1
OR,57,128,4.0623,0.157053886,1
OR,57,136,5.2915,0.106453747,1
OR,57,118,3.4122,0.136803235,1
OR,57,140,3.44,0.325290698,2
OR,57,122,4.0424,0.244780329,2
OR,57,137,4.0458,0.25903406,2
OR,57,130,3.7279,0.2261595,2
OR,57,100,3.5611,0.34739266,2
OR,57,134,4.2739,0.234750462,2
OR,57,129,4.2486,,
OR,57,108,4.2499,,
OR,58,134,3.2409,0.2878,1
OR,58,138,3.4205,0.172781757,1
OR,58,124,3.934,0.139247585,1
OR,58,131,3.483,0.142980189,1
OR,58,136,4.38,0.116232877,1
OR,58,135,4.5097,0.143823314,1
OR,58,141,4.8848,0.101928431,1
OR,58,105,4.952,,1
OR,58,89,3.1149,0.29564352,2
OR,58,140,3.7674,0.230848861,2
OR,58,117,3.3996,0.265913637,2
OR,58,114,3.2186,0.287112409,2
OR,58,114,3.4696,0.283462071,2
OR,58,135,3.9012,0.247898083,2
OR,58,130,4.1013,0.21763831,2
OR,58,110,3.1206,0.316573736,2
OR,58,102,4.1874,0.225605388,2
OR,58,106,3.9538,0.262456371,2
OR,58,139,3.9183,0.24056351,2
OR,58,131,4.6827,0.211437846,2
OR,58,116,4.1861,0.189006474,2
OR,58,104,5.542,,
OR,58,126,4.5423,,
OR,58,134,4.4174,,
OR,59,138,4.3276,0.126051391,1
OR,59,124,4.4388,0.130665946,1
OR,59,112,3.4899,0.160921516,1
OR,59,99,3.5678,0.12256853,1
OR,59,133,3.3773,0.199597311,1
OR,59,115,3.777,0.17593328,1
OR,59,126,3.6694,0.164495558,1
OR,59,88,3.3831,0.144867134,1
OR,59,136,4.27,0.132552693,1
OR,59,123,4.19,0.126968974,1
OR,59,122,4.7352,0.240698772,1
OR,59,122,4.4349,0.122257548,1
OR,59,137,4.3912,0.119375114,1
OR,59,140,4.68,0.118824786,1
OR,59,133,4.39,0.156856492,1
OR,59,110,3.8027,0.144739264,1
OR,59,135,3.9035,0.220238248,2
OR,59,145,4.2344,0.229619309,2
OR,59,145,3.4619,0.290967388,2
OR,59,137,3.9411,0.217553475,2
OR,59,138,3.9,0.242307692,2
OR,59,133,4.0327,0.253453022,2
OR,59,118,3.6283,0.232285092,2
OR,59,132,3.9115,0.238297328,2
OR,59,112,3.6703,0.276816609,2
OR,59,141,3.8387,0.253705682,2
OR,59,115,3.3053,0.265240674,2
OR,59,137,3.5993,0.293334815,2
OR,59,139,3.9362,0.257176973,2
OR,59,136,3.7651,0.284348357,2
OR,59,113,3.5888,0.274492867,2
OR,59,124,4.3192,0.253195036,2
OR,59,133,3.7691,0.265076543,2
OR,59,138,3.8031,,2
OR,59,138,3.8884,0.252957515,2
OR,59,110,3.8023,0.228966678,2
OR,59,140,3.2878,0.402396739,3
OR,59,114,3.5833,0.382133787,3
OR,59,108,3.8608,,4
OR,59,131,,,
OR,59,124,4.3144,,
OR,59,134,,,
OR,59,138,4.3466,,
OR,60,131,4.1658,0.13754861,1
OR,60,133,4.3645,0.129407721,1
OR,60,109,4.95,0.115717172,1
OR,60,130,3.4874,0.144061478,1
OR,60,104,4.0309,0.151975986,1
OR,60,128,4.2263,0.152828715,1
OR,60,134,3.5304,0.150096306,1
OR,60,131,3.6869,0.14150099,1
OR,60,136,3.8061,0.164367725,1
OR,60,127,4.468,0.145232766,1
OR,60,135,4.1115,0.15828773,1
OR,60,143,3.9192,0.145259237,1
OR,60,126,4.0671,0.12714219,1
OR,60,134,3.6567,0.142642273,1
OR,60,94,3.4537,0.13116368,1
OR,60,138,3.8227,0.157715751,1
OR,60,112,4.7053,0.115848086,1
OR,60,124,3.9986,0.076551793,1
