site,sex,months,svl,date,
CP,j,0,29,1/01/2000,
CP,j,0,30,4/01/2000,
CP,j,11,42,8/12/2000,
CP,j,11,43,5/12/2000,
CP,j,11,45,8/12/2000,
CP,j,20,48,16/09/2001,
CP,j,24,49,7/01/2002,
CP,j,32,50,24/08/2002,
CP,j,33,51,28/09/2002,
CP,j,32,52,28/08/2002,
CP,j,24,56,1/01/2002,
CP,j,32,56,28/08/2002,
CP,j,34,58,26/10/2002,
CP,j,34,59,20/10/2002,
CP,j,34,60,5/11/2002,
CP,j,34,62,26/10/2002,
CP,j,45,63,30/09/2003,
CP,j,45,61,10/10/2003,
CP,j,35,66,12/12/2002,
CP,m,32,64,24/08/2002,
CP,m,34,65,29/10/2002,
CP,m,33,66,11/10/2002,
CP,m,34,67,23/10/2002,
CP,m,36,73,22/12/2002,
CP,m,46,70,1/11/2003,
CP,m,46,69,29/10/2003,
CP,m,46,67,25/10/2003,
CP,m,44,66,8/09/2003,
CP,m,55,68,19/08/2004,
CP,m,58,69,20/10/2004,
CP,m,69,69,16/10/2005,
CP,m,70,70,23/10/2005,
CP,m,68,73,12/09/2005,
CP,m,80,76,30/08/2006,
CP,m,80,80,26/08/2006,
CP,m,82,74,22/10/2006,
CP,m,82,70,28/10/2006,
CP,m,95,72,25/11/2007,
CP,m,94,73,3/11/2007,
CP,m,94,75,24/10/2007,
CP,m,94,76,30/10/2007,
CP,m,93,77,15/10/2007,
CP,m,104,80,2/09/2008,
CP,m,104,79,30/08/2008,
CP,m,106,77,10/11/2008,
CP,m,117,75,6/10/2009,
CP,m,128,77,10/09/2010,
CP,m,141,78,23/10/2011,
CP,f,41,64,12/06/2003,
CP,f,41,65,6/06/2003,
CP,f,41,66,6/06/2003,
CP,f,41,67,6/06/2003,
CP,f,48,68,21/12/2003,
CP,f,48,67,21/12/2003,
CP,f,48,65,21/12/2003,
CP,f,53,65,23/05/2004,
CP,f,59,62,13/12/2004,
CP,f,58,71,30/10/2004,
CP,f,57,70,2/10/2004,
CP,f,57,72,19/09/2004,
CP,f,59,74,13/12/2004,
CP,f,57,74,5/10/2004,
CP,f,69,77,28/09/2005,
CP,f,70,75,23/10/2005,
CP,f,70,74,26/10/2005,
CP,f,72,73,31/12/2005,
CP,f,72,71,6/01/2006,
CP,f,68,71,12/09/2005,
CP,f,83,71,21/12/2006,
CP,f,84,79,30/12/2006,
CP,f,84,78,2/01/2007,
CP,f,95,79,17/12/2007,
CP,f,108,79,3/01/2009,
CP,f,108,78,9/01/2009,
CP,f,118,76,31/10/2009,
CP,f,116,81,14/09/2009,
CP,f,118,82,19/11/2009,
CP,f,118,83,3/11/2009,
CP,f,132,82,23/01/2011,
Orford,f,29,62,11/06/2002,
Orford,f,34,62,11/11/2002,
Orford,f,36,62,9/01/2003,
Orford,f,45,61,8/10/2003,
Orford,f,45,57,11/10/2003,
Orford,f,37,57,21/01/2003,
Orford,f,57,64,2/10/2004,
Orford,f,61,66,20/01/2005,
Orford,f,58,70,31/10/2004,
Orford,f,72,65,5/01/2006,
Orford,f,72,63,15/01/2006,
Orford,f,72,62,27/12/2005,
Orford,f,84,66,7/01/2007,
Orford,f,84,65,10/01/2007,
Orford,f,96,68,26/12/2007,
Orford,f,96,66,23/12/2007,
Orford,j,25,56,17/01/2002,
Orford,j,24,53,26/12/2001,
Orford,j,24,51,23/12/2001,
Orford,j,10,49,23/10/2000,
Orford,j,14,47,25/02/2001,
Orford,j,14,45,22/02/2001,
Orford,j,11,46,23/11/2000,
Orford,j,12,42,24/12/2000,
Orford,j,11,41,29/11/2000,
Orford,j,12,40,5/01/2001,
Orford,j,1,36,15/02/2000,
Orford,j,2,34,18/02/2000,
Orford,j,2,33,21/02/2000,
Orford,j,0,30,1/01/2000,
Orford,j,0,29,8/01/2000,
Orford,m,34,57,7/11/2002,
Orford,m,34,59,20/10/2002,
Orford,m,35,65,24/11/2002,
Orford,m,45,65,9/10/2003,
Orford,m,46,64,6/11/2003,
Orford,m,46,63,15/11/2003,
Orford,m,53,58,5/06/2004,
Orford,m,58,60,12/11/2004,
Orford,m,58,65,12/11/2004,
Orford,m,70,65,7/11/2005,
Orford,m,41,59,15/06/2003,
