regime,hour,restricted,unrestricted
a,1,10,10
a,2,10,10
a,3,10,10
a,4,10,10
a,5,10,10
a,6,10,10
a,7,10,10
a,8,10,20
a,9,10,20
a,10,10,20
a,11,20,28
a,12,29.5,28
a,13,29.5,28
a,14,20,28
a,15,10,20
a,16,10,20
a,17,10,20
a,18,10,10
a,19,10,10
a,20,10,10
a,21,10,10
a,22,10,10
a,23,10,10
a,24,10,10
b,1,16,16
b,2,16,16
b,3,16,16
b,4,16,16
b,5,16,16
b,6,16,16
b,7,16,16
b,8,16,20
b,9,16,20
b,10,16,24.5
b,11,25.1,24.5
b,12,25.1,24.5
b,13,25.1,24.5
b,14,20,24.5
b,15,16,24.5
b,16,16,20
b,17,16,20
b,18,16,16
b,19,16,16
b,20,16,16
b,21,16,16
b,22,16,16
b,23,16,16
b,24,16,16
c,1,16,16
c,2,16,16
c,3,16,16
c,4,16,16
c,5,16,16
c,6,16,16
c,7,16,16
c,8,16,20
c,9,16,20
c,10,16,20
c,11,28.4,27.3
c,12,28.4,27.3
c,13,20,27.3
c,14,20,27.3
c,15,16,27.3
c,16,16,20
c,17,16,20
c,18,16,16
c,19,16,16
c,20,16,16
c,21,16,16
c,22,16,16
c,23,16,16
c,24,16,16
