ID,N,TaTb,VO2kg,logVO2kg,Temprounded,Run,numberextracted,Capturedate,testdate,Dateallocatedtreat,Baseline0switchm1m2,Baseline0switchm1m2,Run1or2inset0or1or2,treat1h2c,Capturesite,speciesme1g2mi3pr4,pop,time,factT,airT,groundT,subT,initialmass,Dateweigh2,mass2,SVL,length,TailReg,InitialID,Toeclip,Alttoeclip,Dateweigh3,mass3,,,
A1,5,29.54383749,15.34136379,1.185863968,-30,177,43,3/11/2011,11/11/2011,2/12/2011,0,0,NA,2,Orford,1,1,1334,11.6,3.3,24.1,NA,2.92,6/12/2011,3.88,55,106,2,7,1223,1233,6/02/2012,3.87,NA,,
A1,3,29.1848216,12.99837779,1.113889155,-29,177,43,3/11/2011,11/11/2011,2/12/2011,0,0,NA,2,Orford,1,1,1334,11.6,3.3,24.1,NA,2.92,6/12/2011,3.88,55,106,2,7,1223,1233,6/02/2012,3.87,NA,,
A1,2,27.94964975,11.96020039,1.077738456,-28,177,43,3/11/2011,11/11/2011,2/12/2011,0,0,NA,2,Orford,1,1,1334,11.6,3.3,24.1,NA,2.92,6/12/2011,3.88,55,106,2,7,1223,1233,6/02/2012,3.87,NA,,
A1,2,26.95046158,11.34125096,1.054660961,-27,177,43,3/11/2011,11/11/2011,2/12/2011,0,0,NA,2,Orford,1,1,1334,11.6,3.3,24.1,NA,2.92,6/12/2011,3.88,55,106,2,7,1223,1233,6/02/2012,3.87,NA,,
A1,2,26.1201927,11.12283337,1.046215431,-26,177,43,3/11/2011,11/11/2011,2/12/2011,0,0,NA,2,Orford,1,1,1334,11.6,3.3,24.1,NA,2.92,6/12/2011,3.88,55,106,2,7,1223,1233,6/02/2012,3.87,NA,,
A1,2,25.14247786,10.63537667,1.026752876,-25,177,43,3/11/2011,11/11/2011,2/12/2011,0,0,NA,2,Orford,1,1,1334,11.6,3.3,24.1,NA,2.92,6/12/2011,3.88,55,106,2,7,1223,1233,6/02/2012,3.87,NA,,
A1,3,23.99733941,10.06141254,1.002658957,-24,177,43,3/11/2011,11/11/2011,2/12/2011,0,0,NA,2,Orford,1,1,1334,11.6,3.3,24.1,NA,2.92,6/12/2011,3.88,55,106,2,7,1223,1233,6/02/2012,3.87,NA,,
A1,1,22.83468751,9.547522454,0.979890688,-23,177,43,3/11/2011,11/11/2011,2/12/2011,0,0,NA,2,Orford,1,1,1334,11.6,3.3,24.1,NA,2.92,6/12/2011,3.88,55,106,2,7,1223,1233,6/02/2012,3.87,NA,,
A1,2,22.0652487,9.151239927,0.961479942,-22,177,43,3/11/2011,11/11/2011,2/12/2011,0,0,NA,2,Orford,1,1,1334,11.6,3.3,24.1,NA,2.92,6/12/2011,3.88,55,106,2,7,1223,1233,6/02/2012,3.87,NA,,
A1,2,21.03351758,8.862773774,0.947569664,-21,177,43,3/11/2011,11/11/2011,2/12/2011,0,0,NA,2,Orford,1,1,1334,11.6,3.3,24.1,NA,2.92,6/12/2011,3.88,55,106,2,7,1223,1233,6/02/2012,3.87,NA,,
A1,3,19.99072309,8.625014157,0.935759817,-20,177,43,3/11/2011,11/11/2011,2/12/2011,0,0,NA,2,Orford,1,1,1334,11.6,3.3,24.1,NA,2.92,6/12/2011,3.88,55,106,2,7,1223,1233,6/02/2012,3.87,NA,,
A1,2,18.89554557,8.299132838,0.919032716,-19,177,43,3/11/2011,11/11/2011,2/12/2011,0,0,NA,2,Orford,1,1,1334,11.6,3.3,24.1,NA,2.92,6/12/2011,3.88,55,106,2,7,1223,1233,6/02/2012,3.87,NA,,
A1,1,18.11496355,8.320655599,0.920157546,-18,177,43,3/11/2011,11/11/2011,2/12/2011,0,0,NA,2,Orford,1,1,1334,11.6,3.3,24.1,NA,2.92,6/12/2011,3.88,55,106,2,7,1223,1233,6/02/2012,3.87,NA,,
A1,2,17.20668359,8.208849958,0.914282318,-17,177,43,3/11/2011,11/11/2011,2/12/2011,0,0,NA,2,Orford,1,1,1334,11.6,3.3,24.1,NA,2.92,6/12/2011,3.88,55,106,2,7,1223,1233,6/02/2012,3.87,NA,,
A1,2,16.22422918,7.909980858,0.898175433,-16,177,43,3/11/2011,11/11/2011,2/12/2011,0,0,NA,2,Orford,1,1,1334,11.6,3.3,24.1,NA,2.92,6/12/2011,3.88,55,106,2,7,1223,1233,6/02/2012,3.87,NA,,
A1,3,15.06238412,8.197023123,0.91365616,-15,177,43,3/11/2011,11/11/2011,2/12/2011,0,0,NA,2,Orford,1,1,1334,11.6,3.3,24.1,NA,2.92,6/12/2011,3.88,55,106,2,7,1223,1233,6/02/2012,3.87,NA,,
A1,2,14.06322005,8.529744744,0.930936035,-14,177,43,3/11/2011,11/11/2011,2/12/2011,0,0,NA,2,Orford,1,1,1334,11.6,3.3,24.1,NA,2.92,6/12/2011,3.88,55,106,2,7,1223,1233,6/02/2012,3.87,NA,,
A1,2,13.1861953,8.693029069,0.939171132,-13,177,43,3/11/2011,11/11/2011,2/12/2011,0,0,NA,2,Orford,1,1,1334,11.6,3.3,24.1,NA,2.92,6/12/2011,3.88,55,106,2,7,1223,1233,6/02/2012,3.87,NA,,
A1,2,12.17320574,8.529317458,0.930914279,-12,177,43,3/11/2011,11/11/2011,2/12/2011,0,0,NA,2,Orford,1,1,1334,11.6,3.3,24.1,NA,2.92,6/12/2011,3.88,55,106,2,7,1223,1233,6/02/2012,3.87,NA,,
A1,2,11.13747396,8.401354778,0.924349325,-11,177,43,3/11/2011,11/11/2011,2/12/2011,0,0,NA,2,Orford,1,1,1334,11.6,3.3,24.1,NA,2.92,6/12/2011,3.88,55,106,2,7,1223,1233,6/02/2012,3.87,NA,,
A1,3,9.958279515,8.576137374,0.933291729,-10,177,43,3/11/2011,11/11/2011,2/12/2011,0,0,NA,2,Orford,1,1,1334,11.6,3.3,24.1,NA,2.92,6/12/2011,3.88,55,106,2,7,1223,1233,6/02/2012,3.87,NA,,
A1,2,8.908289714,9.045633626,0.956438994,-9,177,43,3/11/2011,11/11/2011,2/12/2011,0,0,NA,2,Orford,1,1,1334,11.6,3.3,24.1,NA,2.92,6/12/2011,3.88,55,106,2,7,1223,1233,6/02/2012,3.87,NA,,
A1,3,8.877765191,9.914921897,0.996289297,9,177,43,3/11/2011,11/11/2011,2/12/2011,0,0,1,2,Orford,1,1,1334,11.6,3.3,24.1,NA,2.92,6/12/2011,3.88,55,106,2,7,1223,1233,6/02/2012,3.87,NA,,
A1,3,9.904197046,10.70902539,1.029749948,10,177,43,3/11/2011,11/11/2011,2/12/2011,0,0,NA,2,Orford,1,1,1334,11.6,3.3,24.1,NA,2.92,6/12/2011,3.88,55,106,2,7,1223,1233,6/02/2012,3.87,NA,,
A1,3,11.00285894,10.45255839,1.019222602,11,177,43,3/11/2011,11/11/2011,2/12/2011,0,0,NA,2,Orford,1,1,1334,11.6,3.3,24.1,NA,2.92,6/12/2011,3.88,55,106,2,7,1223,1233,6/02/2012,3.87,NA,,
A1,2,11.94685351,11.07319155,1.044272813,12,177,43,3/11/2011,11/11/2011,2/12/2011,0,0,NA,2,Orford,1,1,1334,11.6,3.3,24.1,NA,2.92,6/12/2011,3.88,55,106,2,7,1223,1233,6/02/2012,3.87,NA,,
A1,3,12.88355686,12.3585914,1.091968974,13,177,43,3/11/2011,11/11/2011,2/12/2011,0,0,NA,2,Orford,1,1,1334,11.6,3.3,24.1,NA,2.92,6/12/2011,3.88,55,106,2,7,1223,1233,6/02/2012,3.87,NA,,
A1,3,14.08861502,13.26683648,1.122767376,14,177,43,3/11/2011,11/11/2011,2/12/2011,0,0,NA,2,Orford,1,1,1334,11.6,3.3,24.1,NA,2.92,6/12/2011,3.88,55,106,2,7,1223,1233,6/02/2012,3.87,NA,,
A1,2,15.09002343,13.24414914,1.122024063,15,177,43,3/11/2011,11/11/2011,2/12/2011,0,0,NA,2,Orford,1,1,1334,11.6,3.3,24.1,NA,2.92,6/12/2011,3.88,55,106,2,7,1223,1233,6/02/2012,3.87,NA,,
A1,2,15.89040299,13.50000445,1.130333912,16,177,43,3/11/2011,11/11/2011,2/12/2011,0,0,NA,2,Orford,1,1,1334,11.6,3.3,24.1,NA,2.92,6/12/2011,3.88,55,106,2,7,1223,1233,6/02/2012,3.87,NA,,
A1,3,16.95948438,14.36038611,1.157166117,17,177,43,3/11/2011,11/11/2011,2/12/2011,0,0,NA,2,Orford,1,1,1334,11.6,3.3,24.1,NA,2.92,6/12/2011,3.88,55,106,2,7,1223,1233,6/02/2012,3.87,NA,,
A1,2,18.03720311,15.34558005,1.185983309,18,177,43,3/11/2011,11/11/2011,2/12/2011,0,0,NA,2,Orford,1,1,1334,11.6,3.3,24.1,NA,2.92,6/12/2011,3.88,55,106,2,7,1223,1233,6/02/2012,3.87,NA,,
A1,2,18.93212434,16.68093085,1.222220282,19,177,43,3/11/2011,11/11/2011,2/12/2011,0,0,NA,2,Orford,1,1,1334,11.6,3.3,24.1,NA,2.92,6/12/2011,3.88,55,106,2,7,1223,1233,6/02/2012,3.87,NA,,
A1,2,19.82381966,16.46339856,1.216519492,20,177,43,3/11/2011,11/11/2011,2/12/2011,0,0,NA,2,Orford,1,1,1334,11.6,3.3,24.1,NA,2.92,6/12/2011,3.88,55,106,2,7,1223,1233,6/02/2012,3.87,NA,,
A1,3,20.99160025,16.11216175,1.207153813,21,177,43,3/11/2011,11/11/2011,2/12/2011,0,0,NA,2,Orford,1,1,1334,11.6,3.3,24.1,NA,2.92,6/12/2011,3.88,55,106,2,7,1223,1233,6/02/2012,3.87,NA,,
A1,2,22.18486067,16.52216965,1.218067077,22,177,43,3/11/2011,11/11/2011,2/12/2011,0,0,NA,2,Orford,1,1,1334,11.6,3.3,24.1,NA,2.92,6/12/2011,3.88,55,106,2,7,1223,1233,6/02/2012,3.87,NA,,
A1,2,23.11774739,16.13595718,1.207794733,23,177,43,3/11/2011,11/11/2011,2/12/2011,0,0,NA,2,Orford,1,1,1334,11.6,3.3,24.1,NA,2.92,6/12/2011,3.88,55,106,2,7,1223,1233,6/02/2012,3.87,NA,,
A1,2,24.11521745,16.66398091,1.221778759,24,177,43,3/11/2011,11/11/2011,2/12/2011,0,0,NA,2,Orford,1,1,1334,11.6,3.3,24.1,NA,2.92,6/12/2011,3.88,55,106,2,7,1223,1233,6/02/2012,3.87,NA,,
A1,2,25.11406315,15.93715324,1.202410748,25,177,43,3/11/2011,11/11/2011,2/12/2011,0,0,NA,2,Orford,1,1,1334,11.6,3.3,24.1,NA,2.92,6/12/2011,3.88,55,106,2,7,1223,1233,6/02/2012,3.87,NA,,
A1,2,26.11244078,15.69288734,1.195702857,26,177,43,3/11/2011,11/11/2011,2/12/2011,0,0,NA,2,Orford,1,1,1334,11.6,3.3,24.1,NA,2.92,6/12/2011,3.88,55,106,2,7,1223,1233,6/02/2012,3.87,NA,,
A1,2,27.09788996,15.99049952,1.203862031,27,177,43,3/11/2011,11/11/2011,2/12/2011,0,0,NA,2,Orford,1,1,1334,11.6,3.3,24.1,NA,2.92,6/12/2011,3.88,55,106,2,7,1223,1233,6/02/2012,3.87,NA,,
A1,2,28.11853645,16.43914804,1.215879306,28,177,43,3/11/2011,11/11/2011,2/12/2011,0,0,NA,2,Orford,1,1,1334,11.6,3.3,24.1,NA,2.92,6/12/2011,3.88,55,106,2,7,1223,1233,6/02/2012,3.87,NA,,
A1,3,29.09988672,15.34708483,1.186025894,29,177,43,3/11/2011,11/11/2011,2/12/2011,0,0,NA,2,Orford,1,1,1334,11.6,3.3,24.1,NA,2.92,6/12/2011,3.88,55,106,2,7,1223,1233,6/02/2012,3.87,NA,,
A1,2,29.52467385,15.45420789,1.18904675,30,177,43,3/11/2011,11/11/2011,2/12/2011,0,0,NA,2,Orford,1,1,1334,11.6,3.3,24.1,NA,2.92,6/12/2011,3.88,55,106,2,7,1223,1233,6/02/2012,3.87,NA,,
A1,8,29.60443928,6.042405825,0.78120989,-30,59,43,3/11/2011,2/04/2012,2/12/2011,1,1,NA,2,Orford,1,1,1334,11.6,3.3,24.1,NA,2.92,6/12/2011,3.88,55,106,2,7,1223,1233,6/02/2012,3.87,,,
A1,2,28.84047658,2.798857494,0.446980787,-29,59,43,3/11/2011,2/04/2012,2/12/2011,1,1,NA,2,Orford,1,1,1334,11.6,3.3,24.1,NA,2.92,6/12/2011,3.88,55,106,2,7,1223,1233,6/02/2012,3.87,,,
A1,1,28.06146353,2.747241718,0.438896873,-28,59,43,3/11/2011,2/04/2012,2/12/2011,1,1,NA,2,Orford,1,1,1334,11.6,3.3,24.1,NA,2.92,6/12/2011,3.88,55,106,2,7,1223,1233,6/02/2012,3.87,,,
A1,3,27.02969837,2.466502227,0.392081512,-27,59,43,3/11/2011,2/04/2012,2/12/2011,1,1,NA,2,Orford,1,1,1334,11.6,3.3,24.1,NA,2.92,6/12/2011,3.88,55,106,2,7,1223,1233,6/02/2012,3.87,,,
A1,2,25.99691666,2.344204712,0.369995535,-26,59,43,3/11/2011,2/04/2012,2/12/2011,1,1,NA,2,Orford,1,1,1334,11.6,3.3,24.1,NA,2.92,6/12/2011,3.88,55,106,2,7,1223,1233,6/02/2012,3.87,,,
A1,2,25.05370639,2.160084681,0.334470777,-25,59,43,3/11/2011,2/04/2012,2/12/2011,1,1,NA,2,Orford,1,1,1334,11.6,3.3,24.1,NA,2.92,6/12/2011,3.88,55,106,2,7,1223,1233,6/02/2012,3.87,,,
A1,2,24.07340693,1.579217859,0.198442047,-24,59,43,3/11/2011,2/04/2012,2/12/2011,1,1,NA,2,Orford,1,1,1334,11.6,3.3,24.1,NA,2.92,6/12/2011,3.88,55,106,2,7,1223,1233,6/02/2012,3.87,,,
A1,2,22.86393035,1.394232926,0.144335335,-23,59,43,3/11/2011,2/04/2012,2/12/2011,1,1,NA,2,Orford,1,1,1334,11.6,3.3,24.1,NA,2.92,6/12/2011,3.88,55,106,2,7,1223,1233,6/02/2012,3.87,,,
A1,2,21.87937826,1.116024594,0.047673765,-22,59,43,3/11/2011,2/04/2012,2/12/2011,1,1,NA,2,Orford,1,1,1334,11.6,3.3,24.1,NA,2.92,6/12/2011,3.88,55,106,2,7,1223,1233,6/02/2012,3.87,,,
